subgroup_family,subgroup_name,outcome_window,admissions_with_window,readmission_rate,readmissions
demographics,race_HISPANIC/LATINO - PUERTO RICAN,readmitted_365d_psych,1226,0.43148450244698205,529
demographics,race_HISPANIC OR LATINO,readmitted_30d,550,0.21636363636363637,119
demographics,race_HISPANIC OR LATINO,readmitted_60d_psych,550,0.25636363636363635,141
demographics,race_HISPANIC OR LATINO,readmitted_90d_psych,550,0.2963636363636364,163
demographics,race_HISPANIC OR LATINO,readmitted_365d_psych,550,0.43636363636363634,240
demographics,race_WHITE - RUSSIAN,readmitted_30d,500,0.17,85
demographics,race_WHITE - RUSSIAN,readmitted_60d_psych,500,0.216,108
demographics,race_WHITE - RUSSIAN,readmitted_90d_psych,500,0.248,124
demographics,race_WHITE - RUSSIAN,readmitted_365d_psych,500,0.37,185
demographics,marital_status_SINGLE,readmitted_30d,22190,0.22654348805768365,5027
demographics,marital_status_SINGLE,readmitted_60d_psych,22190,0.28138801261829655,6244
demographics,marital_status_SINGLE,readmitted_90d_psych,22190,0.3152771518702118,6996
demographics,marital_status_SINGLE,readmitted_365d_psych,22190,0.4274898602974313,9486
demographics,marital_status_MARRIED,readmitted_30d,14808,0.17456780118854673,2585
demographics,marital_status_MARRIED,readmitted_60d_psych,14808,0.22285251215559157,3300
demographics,marital_status_MARRIED,readmitted_90d_psych,14808,0.25033765532144786,3707
demographics,marital_status_MARRIED,readmitted_365d_psych,14808,0.3448136142625608,5106
demographics,marital_status_WIDOWED,readmitted_30d,4495,0.15795328142380421,710
demographics,marital_status_WIDOWED,readmitted_60d_psych,4495,0.20867630700778642,938
demographics,marital_status_WIDOWED,readmitted_90d_psych,4495,0.2424916573971079,1090
demographics,marital_status_WIDOWED,readmitted_365d_psych,4495,0.3414905450500556,1535
demographics,marital_status_DIVORCED,readmitted_30d,4289,0.21310328747959897,914
demographics,marital_status_DIVORCED,readmitted_60d_psych,4289,0.27232455117743065,1168
demographics,marital_status_DIVORCED,readmitted_90d_psych,4289,0.30869666588948474,1324
demographics,marital_status_DIVORCED,readmitted_365d_psych,4289,0.431102821170436,1849
demographics,marital_status_Unknown,readmitted_30d,1389,0.059755219582433405,83
demographics,marital_status_Unknown,readmitted_60d_psych,1389,0.06767458603311735,94
demographics,marital_status_Unknown,readmitted_90d_psych,1389,0.07487401007919367,104
demographics,marital_status_Unknown,readmitted_365d_psych,1389,0.11087113030957524,154
demographics,language_English,readmitted_30d,43738,0.20042068681695552,8766
demographics,language_English,readmitted_60d_psych,43738,0.25200054872193517,11022
demographics,language_English,readmitted_90d_psych,43738,0.2831405185422287,12384
demographics,language_English,readmitted_365d_psych,43738,0.387169052082857,16934
demographics,language_Spanish,readmitted_30d,1361,0.1807494489346069,246
demographics,language_Spanish,readmitted_60d_psych,1361,0.2417340191036003,329
demographics,language_Spanish,readmitted_90d_psych,1361,0.27920646583394565,380
demographics,language_Spanish,readmitted_365d_psych,1361,0.3938280675973549,536
demographics,language_Russian,readmitted_30d,569,0.1335676625659051,76
demographics,language_Russian,readmitted_60d_psych,569,0.16695957820738136,95
demographics,language_Russian,readmitted_90d_psych,569,0.20210896309314588,115
demographics,language_Russian,readmitted_365d_psych,569,0.31282952548330406,178
demographics,language_Chinese,readmitted_30d,308,0.16233766233766234,50
demographics,language_Chinese,readmitted_60d_psych,308,0.19480519480519481,60
demographics,language_Chinese,readmitted_90d_psych,308,0.2305194805194805,71
demographics,language_Chinese,readmitted_365d_psych,308,0.3116883116883117,96
demographics,language_Kabuverdianu,readmitted_30d,294,0.14285714285714285,42
demographics,language_Kabuverdianu,readmitted_60d_psych,294,0.20408163265306123,60
demographics,language_Kabuverdianu,readmitted_90d_psych,294,0.22789115646258504,67
demographics,language_Kabuverdianu,readmitted_365d_psych,294,0.36054421768707484,106
diagnosis,has_self_harm_or_suicidal_ideation,readmitted_30d,3648,0.33826754385964913,1234
diagnosis,has_self_harm_or_suicidal_ideation,readmitted_60d_psych,3648,0.3826754385964912,1396
diagnosis,has_self_harm_or_suicidal_ideation,readmitted_90d_psych,3648,0.4128289473684211,1506
diagnosis,has_self_harm_or_suicidal_ideation,readmitted_365d_psych,3648,0.506578947368421,1848
diagnosis,has_psychotic_disorder,readmitted_30d,3064,0.3087467362924282,946
diagnosis,has_psychotic_disorder,readmitted_60d_psych,3064,0.36357702349869453,1114
diagnosis,has_psychotic_disorder,readmitted_90d_psych,3064,0.39556135770234985,1212
diagnosis,has_psychotic_disorder,readmitted_365d_psych,3064,0.5094647519582245,1561
diagnosis,has_bipolar_disorder,readmitted_30d,3801,0.2578268876611418,980
diagnosis,has_bipolar_disorder,readmitted_60d_psych,3801,0.3149171270718232,1197
diagnosis,has_bipolar_disorder,readmitted_90d_psych,3801,0.34964483030781374,1329
diagnosis,has_bipolar_disorder,readmitted_365d_psych,3801,0.469876348329387,1786
diagnosis,has_depression,readmitted_30d,19231,0.21792938484738184,4191
diagnosis,has_depression,readmitted_60d_psych,19231,0.27694867661588063,5326
diagnosis,has_depression,readmitted_90d_psych,19231,0.3114762622848526,5990
diagnosis,has_depression,readmitted_365d_psych,19231,0.42301492382091416,8135
diagnosis,has_substance_use,readmitted_30d,19942,0.20800320930699026,4148
diagnosis,has_substance_use,readmitted_60d_psych,19942,0.26486811754086853,5282
diagnosis,has_substance_use,readmitted_90d_psych,19942,0.2988667134690603,5960
diagnosis,has_substance_use,readmitted_365d_psych,19942,0.4138000200581687,8252
diagnosis,has_personality_disorder,readmitted_30d,904,0.29535398230088494,267
diagnosis,has_personality_disorder,readmitted_60d_psych,904,0.36172566371681414,327
diagnosis,has_personality_disorder,readmitted_90d_psych,904,0.41261061946902655,373
diagnosis,has_personality_disorder,readmitted_365d_psych,904,0.5254424778761062,475
diagnosis,has_anxiety_ptsd,readmitted_30d,15048,0.20879851143009037,3142
diagnosis,has_anxiety_ptsd,readmitted_60d_psych,15048,0.26169590643274854,3938
diagnosis,has_anxiety_ptsd,readmitted_90d_psych,15048,0.29339447102605,4415
diagnosis,has_anxiety_ptsd,readmitted_365d_psych,15048,0.3939393939393939,5928
diagnosis,has_cognitive_delirium,readmitted_30d,6322,0.14742170199304017,932
diagnosis,has_cognitive_delirium,readmitted_60d_psych,6322,0.19250237266687756,1217
diagnosis,has_cognitive_delirium,readmitted_90d_psych,6322,0.22018348623853212,1392
diagnosis,has_cognitive_delirium,readmitted_365d_psych,6322,0.32046820626384054,2026
diagnosis,has_severe_mental_illness,readmitted_30d,6453,0.2795598946226561,1804
diagnosis,has_severe_mental_illness,readmitted_60d_psych,6453,0.33410816674415,2156
diagnosis,has_severe_mental_illness,readmitted_90d_psych,6453,0.36804587013792034,2375
diagnosis,has_severe_mental_illness,readmitted_365d_psych,6453,0.48365101503176816,3121
diagnosis,psychosis_and_substance_use_flag,readmitted_30d,1077,0.29526462395543174,318
diagnosis,psychosis_and_substance_use_flag,readmitted_60d_psych,1077,0.3630454967502321,391
diagnosis,psychosis_and_substance_use_flag,readmitted_90d_psych,1077,0.39740018570102137,428
diagnosis,psychosis_and_substance_use_flag,readmitted_365d_psych,1077,0.5181058495821727,558
diagnosis,depression_and_substance_use_flag,readmitted_30d,5254,0.2596117244004568,1364
diagnosis,depression_and_substance_use_flag,readmitted_60d_psych,5254,0.33346022078416443,1752
diagnosis,depression_and_substance_use_flag,readmitted_90d_psych,5254,0.374571754853445,1968
diagnosis,depression_and_substance_use_flag,readmitted_365d_psych,5254,0.5074229158736201,2666
diagnosis,self_harm_and_substance_use_flag,readmitted_30d,1867,0.3304767005891805,617
diagnosis,self_harm_and_substance_use_flag,readmitted_60d_psych,1867,0.39314408141403323,734
diagnosis,self_harm_and_substance_use_flag,readmitted_90d_psych,1867,0.4317086234600964,806
diagnosis,self_harm_and_substance_use_flag,readmitted_365d_psych,1867,0.5425816818425281,1013
diagnosis,new_self_harm_this_admission_flag,readmitted_30d,2147,0.34047508150908246,731
diagnosis,new_self_harm_this_admission_flag,readmitted_60d_psych,2147,0.37168141592920356,798
diagnosis,new_self_harm_this_admission_flag,readmitted_90d_psych,2147,0.3893805309734513,836
diagnosis,new_self_harm_this_admission_flag,readmitted_365d_psych,2147,0.455985095482068,979
diagnosis,new_psychosis_this_admission_flag,readmitted_30d,1452,0.2871900826446281,417
diagnosis,new_psychosis_this_admission_flag,readmitted_60d_psych,1452,0.3216253443526171,467
diagnosis,new_psychosis_this_admission_flag,readmitted_90d_psych,1452,0.34297520661157027,498
diagnosis,new_psychosis_this_admission_flag,readmitted_365d_psych,1452,0.4221763085399449,613
prior_utilisation,previous_total_admissions_any,readmitted_30d,29723,0.23217710190761362,6901
prior_utilisation,previous_total_admissions_any,readmitted_60d_psych,29723,0.29919590889210373,8893
prior_utilisation,previous_total_admissions_any,readmitted_90d_psych,29723,0.3395350402045554,10092
prior_utilisation,previous_total_admissions_any,readmitted_365d_psych,29723,0.46792046563267503,13908
prior_utilisation,previous_total_admissions_high,readmitted_30d,5064,0.4018562401263823,2035
prior_utilisation,previous_total_admissions_high,readmitted_60d_psych,5064,0.5150078988941548,2608
prior_utilisation,previous_total_admissions_high,readmitted_90d_psych,5064,0.5799763033175356,2937
prior_utilisation,previous_total_admissions_high,readmitted_365d_psych,5064,0.7251184834123223,3672
prior_utilisation,previous_psych_admissions_365d_any,readmitted_30d,19427,0.2831626087404128,5501
prior_utilisation,previous_psych_admissions_365d_any,readmitted_60d_psych,19427,0.3633602717866886,7059
prior_utilisation,previous_psych_admissions_365d_any,readmitted_90d_psych,19427,0.4105626190353632,7976
prior_utilisation,previous_psych_admissions_365d_any,readmitted_365d_psych,19427,0.5512431152519689,10709
prior_utilisation,previous_psych_admissions_365d_high,readmitted_30d,6826,0.42176970407266334,2879
prior_utilisation,previous_psych_admissions_365d_high,readmitted_60d_psych,6826,0.536185174333431,3660
prior_utilisation,previous_psych_admissions_365d_high,readmitted_90d_psych,6826,0.597568121886903,4079
prior_utilisation,previous_psych_admissions_365d_high,readmitted_365d_psych,6826,0.735716378552593,5022
prior_utilisation,previous_psych_admissions_90d_any,readmitted_30d,13509,0.31734399289362647,4287
prior_utilisation,previous_psych_admissions_90d_any,readmitted_60d_psych,13509,0.4018062032718928,5428
prior_utilisation,previous_psych_admissions_90d_any,readmitted_90d_psych,13509,0.44866385372714485,6061
prior_utilisation,previous_psych_admissions_90d_any,readmitted_365d_psych,13509,0.5736916129987416,7750
prior_utilisation,previous_psych_admissions_90d_high,readmitted_30d,5289,0.4505577613915674,2383
prior_utilisation,previous_psych_admissions_90d_high,readmitted_60d_psych,5289,0.5532236717716015,2926
prior_utilisation,previous_psych_admissions_90d_high,readmitted_90d_psych,5289,0.6055965210814899,3203
prior_utilisation,previous_psych_admissions_90d_high,readmitted_365d_psych,5289,0.7162034411041784,3788
prior_utilisation,previous_nonpsych_admissions_365d_any,readmitted_30d,7621,0.23107203779031624,1761
prior_utilisation,previous_nonpsych_admissions_365d_any,readmitted_60d_psych,7621,0.2981236058260071,2272
prior_utilisation,previous_nonpsych_admissions_365d_any,readmitted_90d_psych,7621,0.3385382495735468,2580
prior_utilisation,previous_nonpsych_admissions_365d_any,readmitted_365d_psych,7621,0.44259283558588114,3373
prior_utilisation,previous_nonpsych_admissions_365d_high,readmitted_30d,7621,0.23107203779031624,1761
prior_utilisation,previous_nonpsych_admissions_365d_high,readmitted_60d_psych,7621,0.2981236058260071,2272
prior_utilisation,previous_nonpsych_admissions_365d_high,readmitted_90d_psych,7621,0.3385382495735468,2580
prior_utilisation,previous_nonpsych_admissions_365d_high,readmitted_365d_psych,7621,0.44259283558588114,3373
prior_utilisation,previous_ed_visits_365d_any,readmitted_30d,19619,0.27361231459299656,5368
prior_utilisation,previous_ed_visits_365d_any,readmitted_60d_psych,19619,0.35154696977419847,6897
prior_utilisation,previous_ed_visits_365d_any,readmitted_90d_psych,19619,0.3978796065038993,7806
prior_utilisation,previous_ed_visits_365d_any,readmitted_365d_psych,19619,0.5348896477904073,10494
prior_utilisation,previous_ed_visits_365d_high,readmitted_30d,4734,0.4564850021123785,2161
prior_utilisation,previous_ed_visits_365d_high,readmitted_60d_psych,4734,0.5766793409378961,2730
prior_utilisation,previous_ed_visits_365d_high,readmitted_90d_psych,4734,0.6394169835234474,3027
prior_utilisation,previous_ed_visits_365d_high,readmitted_365d_psych,4734,0.7598225602027884,3597
prior_utilisation,previous_icu_admissions_any,readmitted_30d,9509,0.27384583026606374,2604
prior_utilisation,previous_icu_admissions_any,readmitted_60d_psych,9509,0.35261331370280785,3353
prior_utilisation,previous_icu_admissions_any,readmitted_90d_psych,9509,0.3953097065937533,3759
prior_utilisation,previous_icu_admissions_any,readmitted_365d_psych,9509,0.5238195393837417,4981
prior_utilisation,previous_icu_admissions_high,readmitted_30d,9509,0.27384583026606374,2604
prior_utilisation,previous_icu_admissions_high,readmitted_60d_psych,9509,0.35261331370280785,3353
prior_utilisation,previous_icu_admissions_high,readmitted_90d_psych,9509,0.3953097065937533,3759
prior_utilisation,previous_icu_admissions_high,readmitted_365d_psych,9509,0.5238195393837417,4981
prior_utilisation,low_psych_history_but_prior_admissions,readmitted_30d,10296,0.13597513597513597,1400
prior_utilisation,low_psych_history_but_prior_admissions,readmitted_60d_psych,10296,0.17812742812742813,1834
prior_utilisation,low_psych_history_but_prior_admissions,readmitted_90d_psych,10296,0.2055167055167055,2116
prior_utilisation,low_psych_history_but_prior_admissions,readmitted_365d_psych,10296,0.3107031857031857,3199
discharge_pathway,discharged_home_flag,readmitted_30d,14459,0.15955460266961755,2307
discharge_pathway,discharged_home_flag,readmitted_60d_psych,14459,0.21260114807386402,3074
discharge_pathway,discharged_home_flag,readmitted_90d_psych,14459,0.2438619544920119,3526
discharge_pathway,discharged_home_flag,readmitted_365d_psych,14459,0.35548793139221246,5140
discharge_pathway,discharged_to_facility_flag,readmitted_30d,16552,0.19876752054132432,3290
discharge_pathway,discharged_to_facility_flag,readmitted_60d_psych,16552,0.2586998550024166,4282
discharge_pathway,discharged_to_facility_flag,readmitted_90d_psych,16552,0.29337844369260513,4856
discharge_pathway,discharged_to_facility_flag,readmitted_365d_psych,16552,0.3960246495891735,6555
discharge_pathway,discharged_to_psych_facility_flag,readmitted_30d,571,0.5376532399299475,307
discharge_pathway,discharged_to_psych_facility_flag,readmitted_60d_psych,571,0.5761821366024519,329
discharge_pathway,discharged_to_psych_facility_flag,readmitted_90d_psych,571,0.5936952714535902,339
discharge_pathway,discharged_to_psych_facility_flag,readmitted_365d_psych,571,0.6462346760070052,369
discharge_pathway,discharged_against_advice,readmitted_30d,527,0.31688804554079697,167
discharge_pathway,discharged_against_advice,readmitted_60d_psych,527,0.3795066413662239,200
discharge_pathway,discharged_against_advice,readmitted_90d_psych,527,0.4117647058823529,217
discharge_pathway,discharged_against_advice,readmitted_365d_psych,527,0.5426944971537002,286
discharge_pathway,protective_aftercare_present_flag,readmitted_30d,34278,0.17290973802438883,5927
discharge_pathway,protective_aftercare_present_flag,readmitted_60d_psych,34278,0.2288056479374526,7843
discharge_pathway,protective_aftercare_present_flag,readmitted_90d_psych,34278,0.26212147733239977,8985
discharge_pathway,protective_aftercare_present_flag,readmitted_365d_psych,34278,0.3709084544022405,12714
discharge_pathway,low_aftercare_quality_flag,readmitted_30d,5719,0.3353733170134639,1918
discharge_pathway,low_aftercare_quality_flag,readmitted_60d_psych,5719,0.37419129218394825,2140
discharge_pathway,low_aftercare_quality_flag,readmitted_90d_psych,5719,0.40269277845777235,2303
discharge_pathway,low_aftercare_quality_flag,readmitted_365d_psych,5719,0.4888966602552894,2796
discharge_pathway,home_discharge_without_followup_order_flag,readmitted_30d,8116,0.1441596845736816,1170
discharge_pathway,home_discharge_without_followup_order_flag,readmitted_60d_psych,8116,0.1882700837851158,1528
discharge_pathway,home_discharge_without_followup_order_flag,readmitted_90d_psych,8116,0.21599310004928537,1753
discharge_pathway,home_discharge_without_followup_order_flag,readmitted_365d_psych,8116,0.3185066535239034,2585
discharge_pathway,home_discharge_without_discharge_planning_order_flag,readmitted_30d,309,0.22006472491909385,68
discharge_pathway,home_discharge_without_discharge_planning_order_flag,readmitted_60d_psych,309,0.2621359223300971,81
discharge_pathway,home_discharge_without_discharge_planning_order_flag,readmitted_90d_psych,309,0.28802588996763756,89
discharge_pathway,home_discharge_without_discharge_planning_order_flag,readmitted_365d_psych,309,0.36893203883495146,114
discharge_pathway,had_substance_use_followup_order,readmitted_30d,307,0.19543973941368079,60
discharge_pathway,had_substance_use_followup_order,readmitted_60d_psych,307,0.250814332247557,77
discharge_pathway,had_substance_use_followup_order,readmitted_90d_psych,307,0.2899022801302932,89
discharge_pathway,had_substance_use_followup_order,readmitted_365d_psych,307,0.4169381107491857,128
discharge_pathway,home_discharge_with_psych_risk,readmitted_30d,2307,0.15604681404421328,360
discharge_pathway,home_discharge_with_psych_risk,readmitted_60d_psych,2307,0.21456436931079323,495
discharge_pathway,home_discharge_with_psych_risk,readmitted_90d_psych,2307,0.24577373211963588,567
discharge_pathway,home_discharge_with_psych_risk,readmitted_365d_psych,2307,0.37451235370611186,864
medical_complexity,charlson_3plus,readmitted_30d,11644,0.21805221573342495,2539
medical_complexity,charlson_3plus,readmitted_60d_psych,11644,0.2869288904156647,3341
medical_complexity,charlson_3plus,readmitted_90d_psych,11644,0.32591892820336654,3795
medical_complexity,charlson_3plus,readmitted_365d_psych,11644,0.4396255582274133,5119
medical_complexity,charlson_5plus,readmitted_30d,2707,0.22238640561507203,602
medical_complexity,charlson_5plus,readmitted_60d_psych,2707,0.2940524565940155,796
medical_complexity,charlson_5plus,readmitted_90d_psych,2707,0.3361654968599926,910
medical_complexity,charlson_5plus,readmitted_365d_psych,2707,0.4403398596231991,1192
medical_complexity,had_icu_stay,readmitted_30d,8070,0.15452292441140025,1247
medical_complexity,had_icu_stay,readmitted_60d_psych,8070,0.19504337050805454,1574
medical_complexity,had_icu_stay,readmitted_90d_psych,8070,0.218091697645601,1760
medical_complexity,had_icu_stay,readmitted_365d_psych,8070,0.2888475836431227,2331
medical_complexity,age_65plus_x_charlson,readmitted_30d,11407,0.15218725344086964,1736
medical_complexity,age_65plus_x_charlson,readmitted_60d_psych,11407,0.20119225037257824,2295
medical_complexity,age_65plus_x_charlson,readmitted_90d_psych,11407,0.23056018234417464,2630
medical_complexity,age_65plus_x_charlson,readmitted_365d_psych,11407,0.3290961690190234,3754
medical_complexity,vital_instability_near_discharge_score,readmitted_30d,1529,0.1013734466971877,155
medical_complexity,vital_instability_near_discharge_score,readmitted_60d_psych,1529,0.13211249182472204,202
medical_complexity,vital_instability_near_discharge_score,readmitted_90d_psych,1529,0.1471550032701112,225
medical_complexity,vital_instability_near_discharge_score,readmitted_365d_psych,1529,0.19424460431654678,297
medical_complexity,medical_complexity_no_aftercare_flag,readmitted_30d,4284,0.19257703081232494,825
medical_complexity,medical_complexity_no_aftercare_flag,readmitted_60d_psych,4284,0.2364612511671335,1013
medical_complexity,medical_complexity_no_aftercare_flag,readmitted_90d_psych,4284,0.26587301587301587,1139
medical_complexity,medical_complexity_no_aftercare_flag,readmitted_365d_psych,4284,0.3604108309990663,1544
care_process,orders_last_24h_before_discharge_any,readmitted_30d,44410,0.18007205584327854,7997
care_process,orders_last_24h_before_discharge_any,readmitted_60d_psych,44410,0.232740373789687,10336
care_process,orders_last_24h_before_discharge_any,readmitted_90d_psych,44410,0.26478270659761316,11759
care_process,orders_last_24h_before_discharge_any,readmitted_365d_psych,44410,0.37108759288448545,16480
care_process,orders_last_24h_before_discharge_high,readmitted_30d,4765,0.14186778593913957,676
care_process,orders_last_24h_before_discharge_high,readmitted_60d_psych,4765,0.18551941238195174,884
care_process,orders_last_24h_before_discharge_high,readmitted_90d_psych,4765,0.21448058761804828,1022
care_process,orders_last_24h_before_discharge_high,readmitted_365d_psych,4765,0.3171038824763903,1511
care_process,orders_last_12h_before_discharge_any,readmitted_30d,43122,0.16713046704698298,7207
care_process,orders_last_12h_before_discharge_any,readmitted_60d_psych,43122,0.2208617411066277,9524
care_process,orders_last_12h_before_discharge_any,readmitted_90d_psych,43122,0.25362923797597514,10937
care_process,orders_last_12h_before_discharge_any,readmitted_365d_psych,43122,0.36192662677983395,15607
care_process,orders_last_12h_before_discharge_high,readmitted_30d,4729,0.16959187989004018,802
care_process,orders_last_12h_before_discharge_high,readmitted_60d_psych,4729,0.22013110594205962,1041
care_process,orders_last_12h_before_discharge_high,readmitted_90d_psych,4729,0.25354197504757875,1199
care_process,orders_last_12h_before_discharge_high,readmitted_365d_psych,4729,0.3495453584267287,1653
care_process,late_order_type_diversity_last_12h_any,readmitted_30d,43044,0.16720100362419849,7197
care_process,late_order_type_diversity_last_12h_any,readmitted_60d_psych,43044,0.2209134838769631,9509
care_process,late_order_type_diversity_last_12h_any,readmitted_90d_psych,43044,0.253717126661091,10921
care_process,late_order_type_diversity_last_12h_any,readmitted_365d_psych,43044,0.3621178329151566,15587
care_process,late_order_type_diversity_last_12h_high,readmitted_30d,9714,0.17284331892114474,1679
care_process,late_order_type_diversity_last_12h_high,readmitted_60d_psych,9714,0.23203623635989293,2254
care_process,late_order_type_diversity_last_12h_high,readmitted_90d_psych,9714,0.26734609841465923,2597
care_process,late_order_type_diversity_last_12h_high,readmitted_365d_psych,9714,0.3820259419394688,3711
care_process,num_total_poe_orders_any,readmitted_30d,44816,0.18363977151017494,8230
care_process,num_total_poe_orders_any,readmitted_60d_psych,44816,0.23603177436629774,10578
care_process,num_total_poe_orders_any,readmitted_90d_psych,44816,0.2678507675830061,12004
care_process,num_total_poe_orders_any,readmitted_365d_psych,44816,0.37354962513388074,16741
care_process,num_total_poe_orders_high,readmitted_30d,4742,0.1792492619148039,850
care_process,num_total_poe_orders_high,readmitted_60d_psych,4742,0.2231126107127794,1058
care_process,num_total_poe_orders_high,readmitted_90d_psych,4742,0.2492619148038802,1182
care_process,num_total_poe_orders_high,readmitted_365d_psych,4742,0.31147195276254747,1477
care_process,num_care_team_touchpoints_any,readmitted_30d,44925,0.18357262103505842,8247
care_process,num_care_team_touchpoints_any,readmitted_60d_psych,44925,0.23597106288258207,10601
care_process,num_care_team_touchpoints_any,readmitted_90d_psych,44925,0.2677573734001113,12029
care_process,num_care_team_touchpoints_any,readmitted_365d_psych,44925,0.37340011129660544,16775
care_process,num_care_team_touchpoints_high,readmitted_30d,5029,0.17220123284947306,866
care_process,num_care_team_touchpoints_high,readmitted_60d_psych,5029,0.2157486577848479,1085
