feature_family,processed_feature_count,mean_train_nonzero_percent,min_train_nonzero_percent,max_train_nonzero_percent,all_zero_feature_count,very_rare_feature_count,timing_leakage_review_count,total_review_flag_count
discharge_planning_order_density_per_day,1,0.0,0.0,0.0,1,1,0,2
first_discharge_planning_order_hours,1,0.0,0.0,0.0,1,1,0,2
had_alcohol_withdrawal_protocol_order,1,0.0,0.0,0.0,1,1,0,2
had_behavioral_observation_order,1,0.0,0.0,0.0,1,1,0,2
had_ciWA_protocol_order,1,0.0,0.0,0.0,1,1,0,2
had_home_health_or_vna_order,1,0.0,0.0,0.0,1,1,0,2
had_primary_care_followup_order,1,0.0,0.0,0.0,1,1,0,2
had_restraint_order,1,0.0,0.0,0.0,1,1,0,2
had_snf_or_rehab_placement_order,1,0.0,0.0,0.0,1,1,0,2
had_social_work_discharge_plan_order,1,0.0,0.0,0.0,1,1,0,2
had_suicide_precaution_order,1,0.0,0.0,0.0,1,1,0,2
last_discharge_planning_order_hours,1,0.0,0.0,0.0,1,1,0,2
late_discharge_planning_after_72h_flag,1,0.0,0.0,0.0,1,1,1,3
late_transport_or_placement_activity_flag,1,0.0,0.0,0.0,1,1,0,2
num_discharge_planning_orders,1,0.0,0.0,0.0,1,1,0,2
social_barrier_order_flag,1,0.0,0.0,0.0,1,1,0,2
transport_delay_order_flag,1,0.0,0.0,0.0,1,1,0,2
admission_dayofweek,1,100.0,100.0,100.0,0,0,0,0
admission_hour,1,100.0,100.0,100.0,0,0,0,0
admission_month,1,100.0,100.0,100.0,0,0,0,0
admission_season_autumn,1,25.00418147606105,25.00418147606105,25.00418147606105,0,0,0,0
admission_season_spring,1,25.1306711269078,25.1306711269078,25.1306711269078,0,0,0,0
admission_season_summer,1,25.230503867865355,25.230503867865355,25.230503867865355,0,0,0,0
admission_season_winter,1,24.634643529165796,24.634643529165796,24.634643529165796,0,0,0,0
admission_source_high_acuity_flag,1,100.0,100.0,100.0,0,0,0,0
admission_year,1,100.0,100.0,100.0,0,0,0,0
aftercare_quality_score,1,100.0,100.0,100.0,0,0,0,0
age_65plus,1,100.0,100.0,100.0,0,0,0,0
age_65plus_x_discharge_to_facility,1,100.0,100.0,100.0,0,0,0,0
age_65plus_x_hospital_los_7plus,1,100.0,100.0,100.0,0,0,0,0
age_group_18-29,1,12.865879155341835,12.865879155341835,12.865879155341835,0,0,0,0
age_group_30-39,1,10.958080702487978,10.958080702487978,10.958080702487978,0,0,0,0
age_group_40-49,1,15.181371524148025,15.181371524148025,15.181371524148025,0,0,0,0
age_group_50-59,1,20.31883754965503,20.31883754965503,20.31883754965503,0,0,0,0
age_group_60-69,1,17.943759146978884,17.943759146978884,17.943759146978884,0,0,0,0
age_group_70-79,1,11.89995818523939,11.89995818523939,11.89995818523939,0,0,0,0
age_group_80+,1,10.83211373614886,10.83211373614886,10.83211373614886,0,0,0,0
agitation_chart_event_flag,1,100.0,100.0,100.0,0,0,0,0
anchor_age,1,100.0,100.0,100.0,0,0,0,0
any_abnormal_lab,1,100.0,100.0,100.0,0,0,0,0
any_electrolyte_abnormality,1,100.0,100.0,100.0,0,0,0,0
bmi_category_Missing,1,43.88772736776082,43.88772736776082,43.88772736776082,0,0,0,0
bmi_category_Normal,1,17.415325109763746,17.415325109763746,17.415325109763746,0,0,0,0
bmi_category_Obese,1,20.151055822705416,20.151055822705416,20.151055822705416,0,0,0,0
bmi_category_Overweight,1,16.31350616767719,16.31350616767719,16.31350616767719,0,0,0,0
bmi_category_Underweight,1,2.2323855320928288,2.2323855320928288,2.2323855320928288,0,0,0,0
bmi_change_recent,1,100.0,100.0,100.0,0,0,0,0
chart_acuity_event_density_per_day,1,100.0,100.0,100.0,0,0,0,0
days_since_latest_body_measure,1,100.0,100.0,100.0,0,0,0,0
days_since_latest_body_measure_filled,1,100.0,100.0,100.0,0,0,0,0
days_since_latest_body_measure_missing,1,100.0,100.0,100.0,0,0,0,0
delirium_or_cam_positive_flag,1,100.0,100.0,100.0,0,0,0,0
diagnosis_features,1,100.0,100.0,100.0,0,0,0,0
discharge_month,1,100.0,100.0,100.0,0,0,0,0
discharge_planning_and_social_work_flag,1,100.0,100.0,100.0,0,0,0,0
distinct_organism_count,1,100.0,100.0,100.0,0,0,0,0
drg_code_count,1,100.0,100.0,100.0,0,0,0,0
drg_mortality,1,100.0,100.0,100.0,0,0,0,0
drg_severity,1,100.0,100.0,100.0,0,0,0,0
ect_during_admission_flag,1,100.0,100.0,100.0,0,0,0,0
ect_within_first_72h,1,100.0,100.0,100.0,0,0,0,0
electrolyte_abnormality_count,1,100.0,100.0,100.0,0,0,0,0
emergency_room_admission_flag,1,100.0,100.0,100.0,0,0,0,0
fall_or_mobility_risk_flag,1,100.0,100.0,100.0,0,0,0,0
first_order_hours_from_admission,1,100.0,100.0,100.0,0,0,0,0
first_order_hours_from_admission_filled,1,100.0,100.0,100.0,0,0,0,0
first_order_hours_from_admission_missing,1,100.0,100.0,100.0,0,0,0,0
followup_order_first_72h_flag,1,100.0,100.0,100.0,0,0,0,0
friday_evening_discharge_flag,1,100.0,100.0,100.0,0,0,0,0
gcs_min_score,1,100.0,100.0,100.0,0,0,0,0
gender_F,1,50.8864729249425,50.8864729249425,50.8864729249425,0,0,0,0
gender_M,1,49.1135270750575,49.1135270750575,49.1135270750575,0,0,0,0
had_antibiotic_exposure,1,100.0,100.0,100.0,0,0,0,0
had_antidepressant,1,100.0,100.0,100.0,0,0,0,0
had_benzodiazepine,1,100.0,100.0,100.0,0,0,0,0
had_benzodiazepine_order,1,100.0,100.0,100.0,0,0,0,0
had_case_management_order,1,100.0,100.0,100.0,0,0,0,0
had_clinic_referral_order,1,100.0,100.0,100.0,0,0,0,0
had_discharge_planning_order,1,100.0,100.0,100.0,0,0,0,0
had_followup_or_discharge_planning_order,1,100.0,100.0,100.0,0,0,0,0
had_followup_or_outpatient_referral_order,1,100.0,100.0,100.0,0,0,0,0
had_methadone_or_buprenorphine,1,100.0,100.0,100.0,0,0,0,0
had_mood_stabiliser,1,100.0,100.0,100.0,0,0,0,0
had_mood_stabiliser_order,1,100.0,100.0,100.0,0,0,0,0
had_naloxone_order,1,100.0,100.0,100.0,0,0,0,0
had_opioid_exposure,1,100.0,100.0,100.0,0,0,0,0
had_outpatient_followup_order,1,100.0,100.0,100.0,0,0,0,0
had_prn_benzodiazepine,1,100.0,100.0,100.0,0,0,0,0
had_restraint_chart_event,1,100.0,100.0,100.0,0,0,0,0
had_sedative_hypnotic,1,100.0,100.0,100.0,0,0,0,0
had_social_work_case_management_order,1,100.0,100.0,100.0,0,0,0,0
had_steroid_exposure,1,100.0,100.0,100.0,0,0,0,0
had_stimulant,1,100.0,100.0,100.0,0,0,0,0
had_therapy_or_counselling_followup_order,1,100.0,100.0,100.0,0,0,0,0
had_withdrawal_treatment_order,1,100.0,100.0,100.0,0,0,0,0
has_anxiety_ptsd,1,100.0,100.0,100.0,0,0,0,0
has_cancer,1,100.0,100.0,100.0,0,0,0,0
has_chronic_kidney_disease,1,100.0,100.0,100.0,0,0,0,0
has_cognitive_delirium,1,100.0,100.0,100.0,0,0,0,0
has_copd,1,100.0,100.0,100.0,0,0,0,0
has_dementia,1,100.0,100.0,100.0,0,0,0,0
has_drg_record,1,100.0,100.0,100.0,0,0,0,0
has_eating_disorder,1,100.0,100.0,100.0,0,0,0,0
has_liver_disease,1,100.0,100.0,100.0,0,0,0,0
has_neurodevelopmental_disorder,1,100.0,100.0,100.0,0,0,0,0
has_personality_disorder,1,100.0,100.0,100.0,0,0,0,0
has_severe_mental_illness,1,100.0,100.0,100.0,0,0,0,0
heart_rate_72h_max,1,100.0,100.0,100.0,0,0,0,0
heart_rate_72h_mean,1,100.0,100.0,100.0,0,0,0,0
heart_rate_72h_min,1,100.0,100.0,100.0,0,0,0,0
heart_rate_72h_std,1,100.0,100.0,100.0,0,0,0,0
height_change_recent,1,100.0,100.0,100.0,0,0,0,0
high_drg_mortality,1,100.0,100.0,100.0,0,0,0,0
high_drg_severity,1,100.0,100.0,100.0,0,0,0,0
high_order_activity_and_late_last_order,1,100.0,100.0,100.0,0,0,1,1
high_oxygen_flow_flag,1,100.0,100.0,100.0,0,0,0,0
high_pain_flag,1,100.0,100.0,100.0,0,0,0,0
high_poe_order_activity,1,100.0,100.0,100.0,0,0,0,0
holiday_period_discharge_flag,1,100.0,100.0,100.0,0,0,0,0
home_discharge_low_aftercare_quality_flag,1,100.0,100.0,100.0,0,0,0,0
home_discharge_without_discharge_planning_order_flag,1,100.0,100.0,100.0,0,0,0,0
home_discharge_without_followup_order_flag,1,100.0,100.0,100.0,0,0,0,0
hospital_los_category_0-1 days,1,22.658373405812252,22.658373405812252,22.658373405812252,0,0,0,0
hospital_los_category_1-3 days,1,27.18952540246707,27.18952540246707,27.18952540246707,0,0,0,0
hospital_los_category_3-7 days,1,28.841208446581643,28.841208446581643,28.841208446581643,0,0,0,0
hospital_los_category_7+ days,1,21.310892745139036,21.310892745139036,21.310892745139036,0,0,0,0
hospital_los_days,1,100.0,100.0,100.0,0,0,1,1
hypotension_72h_hour_percentage,1,100.0,100.0,100.0,0,0,0,0
hypotension_indicator,1,100.0,100.0,100.0,0,0,0,0
hypoxia_72h_hour_percentage,1,100.0,100.0,100.0,0,0,0,0
hypoxia_indicator,1,100.0,100.0,100.0,0,0,0,0
insurance_missing_flag,1,100.0,100.0,100.0,0,0,0,0
lab_abnormal_burden_category_0 abnormal labs,1,28.5824796153042,28.5824796153042,28.5824796153042,0,0,0,0
lab_abnormal_burden_category_1 abnormal lab,1,8.06920342881037,8.06920342881037,8.06920342881037,0,0,0,0
lab_abnormal_burden_category_2 abnormal labs,1,11.274304829604851,11.274304829604851,11.274304829604851,0,0,0,0
lab_abnormal_burden_category_3+ abnormal labs,1,52.07401212628058,52.07401212628058,52.07401212628058,0,0,0,0
last_order_after_72h_flag,1,100.0,100.0,100.0,0,0,1,1
last_order_hours_from_admission,1,100.0,100.0,100.0,0,0,1,1
last_order_hours_from_admission_filled,1,100.0,100.0,100.0,0,0,1,1
last_order_hours_from_admission_missing,1,100.0,100.0,100.0,0,0,1,1
last_order_within_12h_of_discharge_flag,1,100.0,100.0,100.0,0,0,1,1
last_order_within_24h_of_discharge_flag,1,100.0,100.0,100.0,0,0,1,1
last_order_within_6h_of_discharge_flag,1,100.0,100.0,100.0,0,0,1,1
late_activity_with_low_aftercare_quality_flag,1,100.0,100.0,100.0,0,0,0,0
late_admin_aftercare_order_count_last_12h,1,100.0,100.0,100.0,0,0,0,0
late_care_team_activity_flag,1,100.0,100.0,100.0,0,0,1,1
late_clinical_order_count_last_12h,1,100.0,100.0,100.0,0,0,0,0
late_clinical_order_count_last_6h,1,100.0,100.0,100.0,0,0,0,0
late_consult_orders_last_12h,1,100.0,100.0,100.0,0,0,0,0
late_consult_orders_last_6h,1,100.0,100.0,100.0,0,0,0,0
late_discharge_admin_orders_last_12h,1,100.0,100.0,100.0,0,0,0,0
late_discharge_admin_orders_last_6h,1,100.0,100.0,100.0,0,0,0,0
late_followup_or_aftercare_orders_last_12h,1,100.0,100.0,100.0,0,0,0,0
late_followup_or_aftercare_orders_last_6h,1,100.0,100.0,100.0,0,0,0,0
late_followup_order_flag,1,100.0,100.0,100.0,0,0,0,0
late_imaging_orders_last_12h,1,100.0,100.0,100.0,0,0,0,0
late_imaging_orders_last_6h,1,100.0,100.0,100.0,0,0,0,0
late_nonroutine_order_count_last_12h,1,100.0,100.0,100.0,0,0,0,0
late_routine_care_orders_last_12h,1,100.0,100.0,100.0,0,0,0,0
late_routine_care_orders_last_6h,1,100.0,100.0,100.0,0,0,0,0
late_social_work_or_case_management_orders_last_12h,1,100.0,100.0,100.0,0,0,0,0
late_social_work_or_case_management_orders_last_6h,1,100.0,100.0,100.0,0,0,0,0
latest_bmi_before_admission,1,100.0,100.0,100.0,0,0,0,0
latest_bmi_before_admission_filled,1,100.0,100.0,100.0,0,0,0,0
latest_bmi_before_admission_missing,1,100.0,100.0,100.0,0,0,0,0
latest_height_cm_before_admission,1,100.0,100.0,100.0,0,0,0,0
latest_height_cm_before_admission_filled,1,100.0,100.0,100.0,0,0,0,0
latest_height_cm_before_admission_missing,1,100.0,100.0,100.0,0,0,0,0
latest_weight_kg_before_admission,1,100.0,100.0,100.0,0,0,0,0
latest_weight_kg_before_admission_filled,1,100.0,100.0,100.0,0,0,0,0
latest_weight_kg_before_admission_missing,1,100.0,100.0,100.0,0,0,0,0
long_gap_recurrent_readmission_pattern_flag,1,100.0,100.0,100.0,0,0,0,0
los_30plus_days,1,100.0,100.0,100.0,0,0,0,0
los_60plus_days,1,100.0,100.0,100.0,0,0,0,0
los_7_to_30_days,1,100.0,100.0,100.0,0,0,0,0
los_under_2_days,1,100.0,100.0,100.0,0,0,0,0
los_under_7_days,1,100.0,100.0,100.0,0,0,0,0
low_aftercare_quality_flag,1,100.0,100.0,100.0,0,0,0,0
low_gcs_flag,1,100.0,100.0,100.0,0,0,0,0
low_urine_output_flag,1,100.0,100.0,100.0,0,0,0,0
max_oxygen_flow_rate,1,100.0,100.0,100.0,0,0,0,0
mean_bp_arterial_72h_max,1,100.0,100.0,100.0,0,0,0,0
mean_bp_arterial_72h_mean,1,100.0,100.0,100.0,0,0,0,0
mean_bp_arterial_72h_min,1,100.0,100.0,100.0,0,0,0,0
mean_bp_arterial_72h_std,1,100.0,100.0,100.0,0,0,0,0
mean_bp_noninvasive_72h_max,1,100.0,100.0,100.0,0,0,0,0
mean_bp_noninvasive_72h_mean,1,100.0,100.0,100.0,0,0,0,0
mean_bp_noninvasive_72h_min,1,100.0,100.0,100.0,0,0,0,0
mean_bp_noninvasive_72h_std,1,100.0,100.0,100.0,0,0,0,0
mean_oxygen_flow_rate,1,100.0,100.0,100.0,0,0,0,0
minimum_mean_bp,1,100.0,100.0,100.0,0,0,0,0
minimum_systolic_bp,1,100.0,100.0,100.0,0,0,0,0
missing_bmi_flag,1,100.0,100.0,100.0,0,0,0,0
month_end_discharge_flag,1,100.0,100.0,100.0,0,0,0,0
new_smi_this_admission_flag,1,100.0,100.0,100.0,0,0,0,0
night_admission,1,100.0,100.0,100.0,0,0,0,0
night_discharge,1,100.0,100.0,100.0,0,0,0,0
night_discharge_flag,1,100.0,100.0,100.0,0,0,0,0
non_english_language_flag,1,100.0,100.0,100.0,0,0,0,0
num_abnormal_labs,1,100.0,100.0,100.0,0,0,0,0
num_cam_delirium_chart_events,1,100.0,100.0,100.0,0,0,0,0
num_consult_orders,1,100.0,100.0,100.0,0,0,0,0
num_datetimeevents,1,100.0,100.0,100.0,0,0,0,0
num_distinct_organisms,1,100.0,100.0,100.0,0,0,0,0
num_distinct_specimen_types,1,100.0,100.0,100.0,0,0,0,0
num_fall_mobility_chart_events,1,100.0,100.0,100.0,0,0,0,0
num_followup_referral_orders,1,100.0,100.0,100.0,0,0,0,0
num_gcs_chart_events,1,100.0,100.0,100.0,0,0,0,0
num_hcpcs_events,1,100.0,100.0,100.0,0,0,0,0
num_hospital_observation_hcpcs_events,1,100.0,100.0,100.0,0,0,0,0
num_labs_measured,1,100.0,100.0,100.0,0,0,0,0
num_order_provider_changes,1,100.0,100.0,100.0,0,0,0,0
num_orders_first_12h,1,100.0,100.0,100.0,0,0,0,0
num_orders_first_24h,1,100.0,100.0,100.0,0,0,0,0
num_orders_first_6h,1,100.0,100.0,100.0,0,0,0,0
num_orders_first_72h,1,100.0,100.0,100.0,0,0,0,0
num_orientation_chart_events,1,100.0,100.0,100.0,0,0,0,0
num_oxygen_support_chart_events,1,100.0,100.0,100.0,0,0,0,0
num_pain_chart_events,1,100.0,100.0,100.0,0,0,0,0
num_prn_benzodiazepine_orders,1,100.0,100.0,100.0,0,0,0,0
num_rass_sedation_chart_events,1,100.0,100.0,100.0,0,0,0,0
num_restraint_chart_events,1,100.0,100.0,100.0,0,0,0,0
num_safety_observation_orders,1,100.0,100.0,100.0,0,0,0,0
num_social_work_case_management_orders,1,100.0,100.0,100.0,0,0,0,0
num_total_poe_orders,1,100.0,100.0,100.0,0,0,0,0
num_unique_enter_providers,1,100.0,100.0,100.0,0,0,0,0
num_unique_hcpcs_codes,1,100.0,100.0,100.0,0,0,0,0
num_unique_order_subtypes,1,100.0,100.0,100.0,0,0,0,0
num_unique_order_types,1,100.0,100.0,100.0,0,0,0,0
num_unique_poe_order_categories,1,100.0,100.0,100.0,0,0,0,0
obesity_flag,1,100.0,100.0,100.0,0,0,0,0
order_activity_duration_hours,1,100.0,100.0,100.0,0,0,1,1
order_activity_ratio_24_to_72h,1,100.0,100.0,100.0,0,0,0,0
order_activity_slope_24_to_72h,1,100.0,100.0,100.0,0,0,0,0
orders_24_to_72h,1,100.0,100.0,100.0,0,0,0,0
orders_after_72h_count,1,100.0,100.0,100.0,0,0,1,1
pain_max_score,1,100.0,100.0,100.0,0,0,0,0
physiological_instability_category_0 indicators,1,83.10108718377587,83.10108718377587,83.10108718377587,0,0,0,0
physiological_instability_category_1 indicator,1,0.6815805979510767,0.6815805979510767,0.6815805979510767,0,0,0,0
physiological_instability_category_2 indicators,1,2.9003763328454943,2.9003763328454943,2.9003763328454943,0,0,0,0
physiological_instability_category_3+ indicators,1,13.316955885427555,13.316955885427555,13.316955885427555,0,0,0,0
physiological_instability_score,1,100.0,100.0,100.0,0,0,0,0
poe_order_density_first_72h,1,100.0,100.0,100.0,0,0,0,0
prior_near_30d_readmission_flag,1,100.0,100.0,100.0,0,0,0,0
protective_aftercare_present_flag,1,100.0,100.0,100.0,0,0,0,0
public_insurance_flag,1,100.0,100.0,100.0,0,0,0,0
quiet_risk_flag,1,100.0,100.0,100.0,0,0,0,0
quiet_risk_summary_score,1,100.0,100.0,100.0,0,0,0,0
rapid_recurrent_readmission_pattern_flag,1,100.0,100.0,100.0,0,0,0,0
rass_extreme_flag,1,100.0,100.0,100.0,0,0,0,0
respiratory_rate_72h_max,1,100.0,100.0,100.0,0,0,0,0
respiratory_rate_72h_mean,1,100.0,100.0,100.0,0,0,0,0
respiratory_rate_72h_min,1,100.0,100.0,100.0,0,0,0,0
respiratory_rate_72h_std,1,100.0,100.0,100.0,0,0,0,0
severe_tachycardia_72h_hour_percentage,1,100.0,100.0,100.0,0,0,0,0
severe_tachycardia_indicator,1,100.0,100.0,100.0,0,0,0,0
smi_home_discharge_no_followup_flag,1,100.0,100.0,100.0,0,0,0,0
spo2_72h_max,1,100.0,100.0,100.0,0,0,0,0
spo2_72h_mean,1,100.0,100.0,100.0,0,0,0,0
spo2_72h_min,1,100.0,100.0,100.0,0,0,0,0
spo2_72h_std,1,100.0,100.0,100.0,0,0,0,0
spo2_low_anytime_flag,1,100.0,100.0,100.0,0,0,0,0
systolic_bp_arterial_72h_max,1,100.0,100.0,100.0,0,0,0,0
systolic_bp_arterial_72h_mean,1,100.0,100.0,100.0,0,0,0,0
systolic_bp_arterial_72h_min,1,100.0,100.0,100.0,0,0,0,0
systolic_bp_arterial_72h_std,1,100.0,100.0,100.0,0,0,0,0
systolic_bp_noninvasive_72h_max,1,100.0,100.0,100.0,0,0,0,0
systolic_bp_noninvasive_72h_mean,1,100.0,100.0,100.0,0,0,0,0
systolic_bp_noninvasive_72h_min,1,100.0,100.0,100.0,0,0,0,0
systolic_bp_noninvasive_72h_std,1,100.0,100.0,100.0,0,0,0,0
tachycardia_72h_hour_percentage,1,100.0,100.0,100.0,0,0,0,0
tachycardia_indicator,1,100.0,100.0,100.0,0,0,0,0
tachypnoea_72h_hour_percentage,1,100.0,100.0,100.0,0,0,0,0
tachypnoea_indicator,1,100.0,100.0,100.0,0,0,0,0
underweight_flag,1,100.0,100.0,100.0,0,0,0,0
underweight_or_weight_loss_flag,1,100.0,100.0,100.0,0,0,0,0
urine_output_total,1,100.0,100.0,100.0,0,0,0,0
vital_72h_abnormal_window_count,1,100.0,100.0,100.0,0,0,0,0
vital_72h_abnormal_window_percentage,1,100.0,100.0,100.0,0,0,0,0
vital_72h_hourly_rows,1,100.0,100.0,100.0,0,0,0,0
vital_72h_hours_with_2plus_instability_indicators,1,100.0,100.0,100.0,0,0,0,0
vital_72h_hours_with_3plus_instability_indicators,1,100.0,100.0,100.0,0,0,0,0
vital_72h_longest_abnormal_run_hours,1,100.0,100.0,100.0,0,0,0,0
vital_72h_max_instability_score,1,100.0,100.0,100.0,0,0,0,0
vital_72h_mean_instability_score,1,100.0,100.0,100.0,0,0,0,0
vital_instability_home_discharge_flag,1,100.0,100.0,100.0,0,0,0,0
weekend_admission,1,100.0,100.0,100.0,0,0,0,0
weight_change_recent,1,100.0,100.0,100.0,0,0,0,0
