processed_feature_name,timing_or_leakage_flags,train_nonzero_percent,test_nonzero_percent
num__glucose_lab_min_value,full_record_not_early_prediction,100.0,100.0
num__glucose_lab_min_value_missing,full_record_not_early_prediction,100.0,100.0
num__glucose_lab_value_change,full_record_not_early_prediction,100.0,100.0
num__glucose_lab_value_change_missing,full_record_not_early_prediction,100.0,100.0
num__heart_rate_vital_last_value,full_record_not_early_prediction,100.0,100.0
num__heart_rate_vital_last_value_missing,full_record_not_early_prediction,100.0,100.0
num__heart_rate_vital_max_value,full_record_not_early_prediction,100.0,100.0
num__heart_rate_vital_max_value_missing,full_record_not_early_prediction,100.0,100.0
num__heart_rate_vital_mean_value,full_record_not_early_prediction,100.0,100.0
num__heart_rate_vital_mean_value_missing,full_record_not_early_prediction,100.0,100.0
num__heart_rate_vital_min_value,full_record_not_early_prediction,100.0,100.0
num__heart_rate_vital_min_value_missing,full_record_not_early_prediction,100.0,100.0
num__heart_rate_vital_value_change,full_record_not_early_prediction,100.0,100.0
num__heart_rate_vital_value_change_missing,full_record_not_early_prediction,100.0,100.0
num__hemoglobin_lab_last_value,full_record_not_early_prediction,100.0,100.0
num__hemoglobin_lab_last_value_missing,full_record_not_early_prediction,100.0,100.0
num__hemoglobin_lab_max_value,full_record_not_early_prediction,100.0,100.0
num__hemoglobin_lab_max_value_missing,full_record_not_early_prediction,100.0,100.0
num__hemoglobin_lab_mean_value,full_record_not_early_prediction,100.0,100.0
num__hemoglobin_lab_mean_value_missing,full_record_not_early_prediction,100.0,100.0
num__hemoglobin_lab_min_value,full_record_not_early_prediction,100.0,100.0
num__hemoglobin_lab_min_value_missing,full_record_not_early_prediction,100.0,100.0
num__hemoglobin_lab_value_change,full_record_not_early_prediction,100.0,100.0
num__hemoglobin_lab_value_change_missing,full_record_not_early_prediction,100.0,100.0
num__high_care_team_touchpoints_near_discharge_flag,full_record_not_early_prediction,100.0,100.0
num__high_order_activity_and_late_last_order,full_record_not_early_prediction,100.0,100.0
num__hospital_los_days,full_record_not_early_prediction,100.0,100.0
num__hypotension_last_24h_before_discharge_flag,full_record_not_early_prediction,100.0,100.0
num__icu_stay_count,full_record_not_early_prediction,100.0,100.0
num__lab_activity_near_discharge_flag,full_record_not_early_prediction,100.0,100.0
num__last_order_after_72h_flag,full_record_not_early_prediction,100.0,100.0
num__last_order_close_to_discharge_hours,full_record_not_early_prediction,100.0,100.0
num__last_order_close_to_discharge_hours_filled,full_record_not_early_prediction,100.0,100.0
num__last_order_hours_from_admission,full_record_not_early_prediction,100.0,100.0
num__last_order_hours_from_admission_filled,full_record_not_early_prediction,100.0,100.0
num__last_order_hours_from_admission_missing,full_record_not_early_prediction,100.0,100.0
num__last_order_within_12h_of_discharge_flag,full_record_not_early_prediction,100.0,100.0
num__last_order_within_24h_of_discharge_flag,full_record_not_early_prediction,100.0,100.0
num__last_order_within_6h_of_discharge_flag,full_record_not_early_prediction,100.0,100.0
num__late_care_team_activity_flag,full_record_not_early_prediction,100.0,100.0
num__late_care_team_touchpoint_share,full_record_not_early_prediction,100.0,100.0
num__late_discharge_planning_after_72h_flag,full_record_not_early_prediction,0.0,0.0
num__late_psych_safety_activity_score_near_discharge,full_record_not_early_prediction,100.0,100.0
num__late_safety_order_flag,full_record_not_early_prediction,100.0,100.0
num__late_safety_orders_and_self_harm_flag,full_record_not_early_prediction,100.0,100.0
num__mean_bp_arterial_vital_last_value,full_record_not_early_prediction,100.0,100.0
num__mean_bp_arterial_vital_last_value_missing,full_record_not_early_prediction,100.0,100.0
num__mean_bp_arterial_vital_max_value,full_record_not_early_prediction,100.0,100.0
num__mean_bp_arterial_vital_max_value_missing,full_record_not_early_prediction,100.0,100.0
num__mean_bp_arterial_vital_mean_value,full_record_not_early_prediction,100.0,100.0
num__mean_bp_arterial_vital_mean_value_missing,full_record_not_early_prediction,100.0,100.0
num__mean_bp_arterial_vital_min_value,full_record_not_early_prediction,100.0,100.0
num__mean_bp_arterial_vital_min_value_missing,full_record_not_early_prediction,100.0,100.0
num__mean_bp_arterial_vital_value_change,full_record_not_early_prediction,100.0,100.0
num__mean_bp_arterial_vital_value_change_missing,full_record_not_early_prediction,100.0,100.0
num__mean_bp_noninvasive_vital_last_value,full_record_not_early_prediction,100.0,100.0
num__mean_bp_noninvasive_vital_last_value_missing,full_record_not_early_prediction,100.0,100.0
num__mean_bp_noninvasive_vital_max_value,full_record_not_early_prediction,100.0,100.0
num__mean_bp_noninvasive_vital_max_value_missing,full_record_not_early_prediction,100.0,100.0
num__mean_bp_noninvasive_vital_mean_value,full_record_not_early_prediction,100.0,100.0
num__mean_bp_noninvasive_vital_mean_value_missing,full_record_not_early_prediction,100.0,100.0
num__mean_bp_noninvasive_vital_min_value,full_record_not_early_prediction,100.0,100.0
num__mean_bp_noninvasive_vital_min_value_missing,full_record_not_early_prediction,100.0,100.0
num__mean_bp_noninvasive_vital_value_change,full_record_not_early_prediction,100.0,100.0
num__mean_bp_noninvasive_vital_value_change_missing,full_record_not_early_prediction,100.0,100.0
num__medical_workup_near_discharge_score,full_record_not_early_prediction,100.0,100.0
num__new_orders_last_12h_before_discharge_flag,full_record_not_early_prediction,100.0,100.0
num__new_orders_last_24h_before_discharge_flag,full_record_not_early_prediction,100.0,100.0
num__new_safety_order_last_12h_before_discharge_flag,full_record_not_early_prediction,100.0,100.0
num__new_safety_order_last_24h_before_discharge_flag,full_record_not_early_prediction,100.0,100.0
num__num_careunit_transfers,full_record_not_early_prediction,100.0,100.0
num__num_lab_events_last_24h_before_discharge,full_record_not_early_prediction,100.0,100.0
num__num_lab_events_last_48h_before_discharge,full_record_not_early_prediction,100.0,100.0
num__num_outputevents_last_24h_before_discharge,full_record_not_early_prediction,100.0,100.0
num__num_prescription_rows,full_record_not_early_prediction,100.0,100.0
num__num_procedures,full_record_not_early_prediction,100.0,100.0
num__num_service_transfers,full_record_not_early_prediction,100.0,100.0
num__num_transfer_events,full_record_not_early_prediction,100.0,100.0
num__order_activity_duration_hours,full_record_not_early_prediction,100.0,100.0
num__order_activity_last_12h_to_total_ratio,full_record_not_early_prediction,100.0,100.0
num__order_activity_last_24h_to_total_ratio,full_record_not_early_prediction,100.0,100.0
num__order_activity_last_48h_to_total_ratio,full_record_not_early_prediction,100.0,100.0
num__order_activity_last_6h_to_total_ratio,full_record_not_early_prediction,100.0,100.0
num__orders_after_72h_count,full_record_not_early_prediction,100.0,100.0
num__orders_after_72h_per_hospital_day,full_record_not_early_prediction,100.0,100.0
num__orders_after_72h_to_total_ratio,full_record_not_early_prediction,100.0,100.0
num__orders_last_12h_before_discharge,full_record_not_early_prediction,100.0,100.0
num__orders_last_24h_before_discharge,full_record_not_early_prediction,100.0,100.0
num__orders_last_48h_before_discharge,full_record_not_early_prediction,100.0,100.0
num__orders_last_6h_before_discharge,full_record_not_early_prediction,100.0,100.0
num__platelet_lab_last_value,full_record_not_early_prediction,100.0,100.0
num__platelet_lab_last_value_missing,full_record_not_early_prediction,100.0,100.0
num__platelet_lab_max_value,full_record_not_early_prediction,100.0,100.0
num__platelet_lab_max_value_missing,full_record_not_early_prediction,100.0,100.0
num__platelet_lab_mean_value,full_record_not_early_prediction,100.0,100.0
num__platelet_lab_mean_value_missing,full_record_not_early_prediction,100.0,100.0
num__platelet_lab_min_value,full_record_not_early_prediction,100.0,100.0
num__platelet_lab_min_value_missing,full_record_not_early_prediction,100.0,100.0
num__platelet_lab_value_change,full_record_not_early_prediction,100.0,100.0
num__platelet_lab_value_change_missing,full_record_not_early_prediction,100.0,100.0
num__potassium_lab_last_value,full_record_not_early_prediction,100.0,100.0
num__potassium_lab_last_value_missing,full_record_not_early_prediction,100.0,100.0
num__potassium_lab_max_value,full_record_not_early_prediction,100.0,100.0
num__potassium_lab_max_value_missing,full_record_not_early_prediction,100.0,100.0
num__potassium_lab_mean_value,full_record_not_early_prediction,100.0,100.0
num__potassium_lab_mean_value_missing,full_record_not_early_prediction,100.0,100.0
num__potassium_lab_min_value,full_record_not_early_prediction,100.0,100.0
num__potassium_lab_min_value_missing,full_record_not_early_prediction,100.0,100.0
num__potassium_lab_value_change,full_record_not_early_prediction,100.0,100.0
num__potassium_lab_value_change_missing,full_record_not_early_prediction,100.0,100.0
num__previous_admission_had_late_orders,full_record_not_early_prediction,100.0,100.0
num__previous_admission_had_late_safety_orders,full_record_not_early_prediction,100.0,100.0
num__prn_psychotropic_orders_last_24h_before_discharge,full_record_not_early_prediction,100.0,100.0
num__provider_changes_last_24h_before_discharge,full_record_not_early_prediction,100.0,100.0
num__psychosis_with_late_safety_order_flag,full_record_not_early_prediction,100.0,100.0
num__psychotropic_orders_last_24h_before_discharge,full_record_not_early_prediction,100.0,100.0
num__psychotropic_orders_last_48h_before_discharge,full_record_not_early_prediction,100.0,100.0
num__psychotropic_started_after_72h_flag,full_record_not_early_prediction,100.0,100.0
num__respiratory_rate_vital_last_value,full_record_not_early_prediction,100.0,100.0
num__respiratory_rate_vital_last_value_missing,full_record_not_early_prediction,100.0,100.0
num__respiratory_rate_vital_max_value,full_record_not_early_prediction,100.0,100.0
num__respiratory_rate_vital_max_value_missing,full_record_not_early_prediction,100.0,100.0
num__respiratory_rate_vital_mean_value,full_record_not_early_prediction,100.0,100.0
num__respiratory_rate_vital_mean_value_missing,full_record_not_early_prediction,100.0,100.0
num__respiratory_rate_vital_min_value,full_record_not_early_prediction,100.0,100.0
num__respiratory_rate_vital_min_value_missing,full_record_not_early_prediction,100.0,100.0
num__respiratory_rate_vital_value_change,full_record_not_early_prediction,100.0,100.0
num__respiratory_rate_vital_value_change_missing,full_record_not_early_prediction,100.0,100.0
num__safety_order_activity_duration_hours,full_record_not_early_prediction,100.0,100.0
num__safety_order_near_discharge_flag,full_record_not_early_prediction,100.0,100.0
num__safety_orders_after_72h,full_record_not_early_prediction,100.0,100.0
num__safety_orders_last_12h_before_discharge,full_record_not_early_prediction,100.0,100.0
num__safety_orders_last_24h_before_discharge,full_record_not_early_prediction,100.0,100.0
num__safety_orders_last_6h_before_discharge,full_record_not_early_prediction,100.0,100.0
num__self_harm_and_late_safety_order_flag,full_record_not_early_prediction,100.0,100.0
num__self_harm_with_late_safety_order_flag,full_record_not_early_prediction,100.0,100.0
num__service_change_last_24h_before_discharge_flag,full_record_not_early_prediction,100.0,100.0
num__sodium_lab_last_value,full_record_not_early_prediction,100.0,100.0
num__sodium_lab_last_value_missing,full_record_not_early_prediction,100.0,100.0
num__sodium_lab_max_value,full_record_not_early_prediction,100.0,100.0
num__sodium_lab_max_value_missing,full_record_not_early_prediction,100.0,100.0
num__sodium_lab_mean_value,full_record_not_early_prediction,100.0,100.0
num__sodium_lab_mean_value_missing,full_record_not_early_prediction,100.0,100.0
num__sodium_lab_min_value,full_record_not_early_prediction,100.0,100.0
num__sodium_lab_min_value_missing,full_record_not_early_prediction,100.0,100.0
num__sodium_lab_value_change,full_record_not_early_prediction,100.0,100.0
num__sodium_lab_value_change_missing,full_record_not_early_prediction,100.0,100.0
num__spo2_low_last_24h_before_discharge_flag,full_record_not_early_prediction,100.0,100.0
num__spo2_vital_last_value,full_record_not_early_prediction,100.0,100.0
num__spo2_vital_last_value_missing,full_record_not_early_prediction,100.0,100.0
num__spo2_vital_max_value,full_record_not_early_prediction,100.0,100.0
num__spo2_vital_max_value_missing,full_record_not_early_prediction,100.0,100.0
num__spo2_vital_mean_value,full_record_not_early_prediction,100.0,100.0
num__spo2_vital_mean_value_missing,full_record_not_early_prediction,100.0,100.0
num__spo2_vital_min_value,full_record_not_early_prediction,100.0,100.0
num__spo2_vital_min_value_missing,full_record_not_early_prediction,100.0,100.0
num__spo2_vital_value_change,full_record_not_early_prediction,100.0,100.0
num__spo2_vital_value_change_missing,full_record_not_early_prediction,100.0,100.0
num__systolic_bp_arterial_vital_last_value,full_record_not_early_prediction,100.0,100.0
num__systolic_bp_arterial_vital_last_value_missing,full_record_not_early_prediction,100.0,100.0
num__systolic_bp_arterial_vital_max_value,full_record_not_early_prediction,100.0,100.0
num__systolic_bp_arterial_vital_max_value_missing,full_record_not_early_prediction,100.0,100.0
num__systolic_bp_arterial_vital_mean_value,full_record_not_early_prediction,100.0,100.0
num__systolic_bp_arterial_vital_mean_value_missing,full_record_not_early_prediction,100.0,100.0
num__systolic_bp_arterial_vital_min_value,full_record_not_early_prediction,100.0,100.0
num__systolic_bp_arterial_vital_min_value_missing,full_record_not_early_prediction,100.0,100.0
num__systolic_bp_arterial_vital_value_change,full_record_not_early_prediction,100.0,100.0
num__systolic_bp_arterial_vital_value_change_missing,full_record_not_early_prediction,100.0,100.0
num__systolic_bp_noninvasive_vital_last_value,full_record_not_early_prediction,100.0,100.0
num__systolic_bp_noninvasive_vital_last_value_missing,full_record_not_early_prediction,100.0,100.0
num__systolic_bp_noninvasive_vital_max_value,full_record_not_early_prediction,100.0,100.0
num__systolic_bp_noninvasive_vital_max_value_missing,full_record_not_early_prediction,100.0,100.0
num__systolic_bp_noninvasive_vital_mean_value,full_record_not_early_prediction,100.0,100.0
num__systolic_bp_noninvasive_vital_mean_value_missing,full_record_not_early_prediction,100.0,100.0
num__systolic_bp_noninvasive_vital_min_value,full_record_not_early_prediction,100.0,100.0
num__systolic_bp_noninvasive_vital_min_value_missing,full_record_not_early_prediction,100.0,100.0
num__systolic_bp_noninvasive_vital_value_change,full_record_not_early_prediction,100.0,100.0
num__systolic_bp_noninvasive_vital_value_change_missing,full_record_not_early_prediction,100.0,100.0
num__tachycardia_last_24h_before_discharge_flag,full_record_not_early_prediction,100.0,100.0
num__total_icu_los_days,full_record_not_early_prediction,100.0,100.0
num__urea_nitrogen_lab_last_value,full_record_not_early_prediction,100.0,100.0
num__urea_nitrogen_lab_last_value_missing,full_record_not_early_prediction,100.0,100.0
num__urea_nitrogen_lab_max_value,full_record_not_early_prediction,100.0,100.0
num__urea_nitrogen_lab_max_value_missing,full_record_not_early_prediction,100.0,100.0
num__urea_nitrogen_lab_mean_value,full_record_not_early_prediction,100.0,100.0
num__urea_nitrogen_lab_mean_value_missing,full_record_not_early_prediction,100.0,100.0
num__urea_nitrogen_lab_min_value,full_record_not_early_prediction,100.0,100.0
num__urea_nitrogen_lab_min_value_missing,full_record_not_early_prediction,100.0,100.0
num__urea_nitrogen_lab_value_change,full_record_not_early_prediction,100.0,100.0
num__urea_nitrogen_lab_value_change_missing,full_record_not_early_prediction,100.0,100.0
num__vital_instability_near_discharge_score,full_record_not_early_prediction,100.0,100.0
num__wbc_lab_last_value,full_record_not_early_prediction,100.0,100.0
num__wbc_lab_last_value_missing,full_record_not_early_prediction,100.0,100.0
num__wbc_lab_max_value,full_record_not_early_prediction,100.0,100.0
num__wbc_lab_max_value_missing,full_record_not_early_prediction,100.0,100.0
num__wbc_lab_mean_value,full_record_not_early_prediction,100.0,100.0
num__wbc_lab_mean_value_missing,full_record_not_early_prediction,100.0,100.0
num__wbc_lab_min_value,full_record_not_early_prediction,100.0,100.0
num__wbc_lab_min_value_missing,full_record_not_early_prediction,100.0,100.0
num__wbc_lab_value_change,full_record_not_early_prediction,100.0,100.0
num__wbc_lab_value_change_missing,full_record_not_early_prediction,100.0,100.0
cat__discharge_location_ACUTE HOSPITAL,post_discharge_context,0.5644992682416893,0.591465095079604
cat__discharge_location_AGAINST ADVICE,post_discharge_context,1.070457871628685,1.1172118462614742
cat__discharge_location_ASSISTED LIVING,post_discharge_context,0.2028015889609032,0.20987471115727885
cat__discharge_location_CHRONIC/LONG TERM ACUTE CARE,post_discharge_context,1.8158059795107673,1.6853575289902694
cat__discharge_location_HEALTHCARE FACILITY,post_discharge_context,0.009931005644992682,0.014839626041423757
cat__discharge_location_HOME,post_discharge_context,30.3334727158687,30.65230756184944
cat__discharge_location_HOME HEALTH CARE,post_discharge_context,17.29040351243989,17.20124652858748
cat__discharge_location_OTHER FACILITY,post_discharge_context,0.46884800334518084,0.4748680333255602
cat__discharge_location_PSYCH FACILITY,post_discharge_context,1.2345808070248798,1.2104894956647092
cat__discharge_location_REHAB,post_discharge_context,2.5517457662554883,2.637213542218736
cat__discharge_location_SKILLED NURSING FACILITY,post_discharge_context,11.782354171022371,11.865340993406965
cat__discharge_location_Unknown,post_discharge_context,29.31266987246498,28.937270780776323
cat__discharge_location_Unknown / not modelled,post_discharge_context,3.36242943759147,3.4025142566407327
cat__discharge_location_grouped_Facility / rehab / long-term care,post_discharge_context,16.149905916788626,16.187912064615972
cat__discharge_location_grouped_Home,post_discharge_context,30.3334727158687,30.65230756184944
cat__discharge_location_grouped_Home health care,post_discharge_context,17.29040351243989,17.20124652858748
cat__discharge_location_grouped_Other,post_discharge_context,2.316537737821451,2.408259311865341
cat__discharge_location_grouped_Psych facility,post_discharge_context,1.2345808070248798,1.2104894956647092
cat__discharge_location_grouped_Unknown / not modelled,post_discharge_context,32.67509931005645,32.33978503741706
cat__last_icu_careunit_Cardiac Vascular Intensive Care Unit (CVICU),post_discharge_context,2.003972402257997,1.9906298361281296
cat__last_icu_careunit_Coronary Care Unit (CCU),post_discharge_context,1.7457662554881874,1.683237582412923
cat__last_icu_careunit_Intensive Care Unit (ICU),post_discharge_context,0.003136107045787163,0.008479786309385003
cat__last_icu_careunit_Med/Surg,post_discharge_context,0.0005226845076311938,0.0
cat__last_icu_careunit_Medical Intensive Care Unit (MICU),post_discharge_context,4.477838176876437,4.608763859150749
cat__last_icu_careunit_Medical/Surgical Intensive Care Unit (MICU/SICU),post_discharge_context,2.99916370478779,3.044243285069216
cat__last_icu_careunit_Medicine,post_discharge_context,0.0015680535228935815,0.010599732886731255
cat__last_icu_careunit_Neuro Intermediate,post_discharge_context,0.9403094292285177,0.9857751584660066
cat__last_icu_careunit_Neuro Stepdown,post_discharge_context,0.2440936650637675,0.24803374954951135
cat__last_icu_careunit_Neuro Surgical Intensive Care Unit (Neuro SICU),post_discharge_context,0.3350407693915952,0.3179919866019376
cat__last_icu_careunit_No ICU,post_discharge_context,83.05665900062722,82.89203112081576
cat__last_icu_careunit_PACU,post_discharge_context,0.018293957767091782,0.016959572618770007
cat__last_icu_careunit_Surgery/Trauma,post_discharge_context,0.0026134225381559692,0.002119946577346251
cat__last_icu_careunit_Surgery/Vascular/Intermediate,post_discharge_context,0.027179594396822077,0.029679252082847513
cat__last_icu_careunit_Surgical Intensive Care Unit (SICU),post_discharge_context,2.208342044741794,2.232303745945602
cat__last_icu_careunit_Trauma SICU (TSICU),post_discharge_context,1.9355007317583106,1.9291513853850883
cat__last_service_CMED,post_discharge_context,6.857098055613632,6.955544720273049
cat__last_service_CSURG,post_discharge_context,1.7264269287058331,1.6577982234847681
cat__last_service_DENT,post_discharge_context,0.0052268450763119385,0.004239893154692502
cat__last_service_ENT,post_discharge_context,0.19809742839222244,0.2247143371987026
cat__last_service_EYE,post_discharge_context,0.0015680535228935815,0.0
cat__last_service_GU,post_discharge_context,0.6763537528747648,0.5893451485022577
cat__last_service_GYN,post_discharge_context,0.8023207192138825,0.8204193254329991
cat__last_service_MED,post_discharge_context,59.73238553209283,59.928769795001166
cat__last_service_NMED,post_discharge_context,4.21179176249216,4.314091284899621
cat__last_service_NSURG,post_discharge_context,2.2323855320928288,2.255623158296411
cat__last_service_OBS,post_discharge_context,1.3652519339326783,1.2041296559326704
cat__last_service_OMED,post_discharge_context,4.4543173740330335,4.299251658858196
cat__last_service_ORTHO,post_discharge_context,3.658791553418357,3.8159038392232514
cat__last_service_PSURG,post_discharge_context,0.5289567217227681,0.5511861101100253
cat__last_service_PSYCH,post_discharge_context,4.010035542546519,3.9854995654109517
cat__last_service_SURG,post_discharge_context,5.94605895881246,5.855292446630345
cat__last_service_TRAUM,post_discharge_context,1.2633284549445953,1.208369549087363
cat__last_service_TSURG,post_discharge_context,0.7150324064394732,0.6995823705242628
cat__last_service_Unknown,post_discharge_context,0.0036587915534183565,0.0063598397320387525
cat__last_service_VSURG,post_discharge_context,1.6109136525193393,1.623879078247228
num__same_first_last_service,post_discharge_context,100.0,100.0
