processed_feature_name,removal_set
num__late_transport_or_placement_activity_flag,runtime_trimmed_feature_audit
num__meds_to_beds_order_flag,runtime_trimmed_feature_audit
num__multiple_icu_stays,runtime_trimmed_feature_audit
num__num_discharge_planning_orders,runtime_trimmed_feature_audit
num__num_intramuscular_pharmacy_orders,runtime_trimmed_feature_audit
num__num_subcutaneous_pharmacy_orders,runtime_trimmed_feature_audit
num__placement_related_order_flag,runtime_trimmed_feature_audit
num__placement_related_orders_last_48h,runtime_trimmed_feature_audit
num__polymicrobial_flag,runtime_trimmed_feature_audit
num__positive_culture_flag,runtime_trimmed_feature_audit
num__previous_ed_visits_without_admission_30d,runtime_trimmed_feature_audit
num__previous_ed_visits_without_admission_90d,runtime_trimmed_feature_audit
num__prior_ed_only_high_use_flag,runtime_trimmed_feature_audit
num__prior_ed_only_use_with_current_psychosis_flag,runtime_trimmed_feature_audit
num__prior_ed_only_use_with_current_self_harm_flag,runtime_trimmed_feature_audit
num__prior_ed_only_use_with_current_smi_flag,runtime_trimmed_feature_audit
num__prior_ed_only_use_with_substance_use_flag,runtime_trimmed_feature_audit
num__social_barrier_order_flag,runtime_trimmed_feature_audit
num__sodium_lab_severe_abnormal,runtime_trimmed_feature_audit
num__transport_delay_order_flag,runtime_trimmed_feature_audit
num__underweight_flag,runtime_trimmed_feature_audit
